Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,VSenseBatt,VSenseReg,Magnetometer X,Magnetometer Y,Magnetometer Z,Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,VSenseBatt,VSenseReg,Magnetometer X,Magnetometer Y,Magnetometer Z
RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL
No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,mSecs,m/(sec^2),m/(sec^2),m/(sec^2),deg/sec,deg/sec,deg/sec,mVolts,mVolts,local,local,local
4225,2018,2164,2637,1845,1645,1814,2387,2309,-198,24,-485,2128.93676757813,1.40230913565221,1.36920414024299,27.0795859757009,2.06775098230524,0.370643567910908,0.408473983493879,3497.4358974359,3362.85128205128,0.0560398505603985,0.320099255583127,0.530612244897959
4865,1990,2180,2630,1844,1643,1812,2385,2320,-197,25,-490,2148.46801757813,2.57606014989431,2.01209083338671,26.7909166613286,1.35038042535807,0.790632716750818,1.13479045979012,3494.50549450549,3378.87179487179,0.0572851805728518,0.321339950372208,0.536989795918367
5505,2006,2167,2665,1844,1645,1813,2388,2310,-192,31,-488,2167.99926757813,1.92698524544659,1.47795357974078,28.2046420259219,2.05216863127714,0.783804142624538,0.774430960185037,3498.9010989011,3364.30769230769,0.0635118306351183,0.3287841191067,0.534438775510204
6145,1995,2171,2670,1846,1645,1812,2384,2309,-194,30,-481,2187.53051757813,2.39250651917451,1.63593946843038,28.406053156962,2.06130204890945,-0.064548291226603,1.1661125124207,3493.04029304029,3362.85128205128,0.0610211706102117,0.327543424317618,0.525510204081633
6785,2009,2166,2649,1844,1644,1812,2384,2316,-189,28,-481,2207.06176757813,1.78849165518972,1.44436448391092,27.5635516089082,1.69760264758029,0.783546548950364,1.14187662759058,3493.04029304029,3373.04615384615,0.0672478206724782,0.325062034739454,0.525510204081633
7425,1993,2150,2681,1843,1644,1812,2384,2317,-197,33,-487,2226.59301757813,2.46861838207034,0.791101827237205,28.8898172762795,1.68936405802682,1.20405088513862,1.13330176907574,3493.04029304029,3374.50256410256,0.0572851805728518,0.331265508684864,0.533163265306122
8065,1991,2173,2665,1844,1643,1812,2385,2319,-196,32,-498,2246.12426757813,2.55679705682959,1.71794761439583,28.2052385604168,1.35038042535807,0.790632716750818,1.13479045979012,3494.50549450549,3377.41538461538,0.0585305105853051,0.330024813895782,0.54719387755102
8705,1998,2164,2645,1845,1645,1814,2387,2305,-195,27,-490,2265.65551757813,2.24231444707792,1.36583445433775,27.4165545662247,2.06775098230524,0.370643567910908,0.408473983493879,3497.4358974359,3357.02564102564,0.0597758405977584,0.323821339950372,0.536989795918367
9345,1988,2164,2639,1845,1645,1814,2385,2306,-198,27,-479,2285.18676757813,2.65439000010676,1.36815319859928,27.1846801400722,2.06775098230524,0.370643567910908,0.408473983493879,3494.50549450549,3358.48205128205,0.0560398505603985,0.323821339950372,0.522959183673469
9985,1995,2184,2652,1844,1644,1813,2386,2314,-193,34,-485,2304.71801757813,2.38812659476224,2.16340407671941,27.6595923280593,1.70494640905492,0.790890310424991,0.767344792384584,3495.9706959707,3370.13333333333,0.062266500622665,0.332506203473945,0.530612244897959
10625,1986,2172,2655,1844,1644,1813,2387,2309,-206,21,-480,2324.24926757813,2.75652517989452,1.68188963978391,27.8110360216087,1.70494640905492,0.790890310424991,0.767344792384584,3497.4358974359,3362.85128205128,0.0460772104607721,0.316377171215881,0.524234693877551
11265,2005,2179,2646,1845,1646,1813,2387,2310,-202,25,-487,2343.78051757813,1.96273511065915,1.96579034815194,27.4209651848056,2.40762944305283,0.356213638635828,0.790091986500325,3497.4358974359,3364.30769230769,0.0510585305105853,0.321339950372208,0.533163265306122
